Temp,Humidity,dB,Hz,Hive
12.95,82.27,38.82,150.5,Treatment 1
12.27,82.82,38.67,136.3,Treatment 1
12.05,82.96,38.61,130.69,Treatment 1
11.92,82.59,38.62,144.53,Treatment 1
11.87,82.24,38.63,135.94,Treatment 1
12.04,82.42,38.61,130.73,Treatment 1
12.12,83.33,38.62,136.48,Treatment 1
12.27,84.56,38.63,136.92,Treatment 1
12.66,85.2,38.6,129.48,Treatment 1
12.44,84.6,38.59,131.48,Treatment 1
12.01,84.25,38.57,123.98,Treatment 1
11.76,84.4,38.6,126.8,Treatment 1
11.86,84.24,38.63,125.19,Treatment 1
11.72,84.46,38.6,129.88,Treatment 1
11.37,82.84,38.54,126.87,Treatment 1
11.19,81.53,38.57,130.29,Treatment 1
10.98,80.45,38.57,152.9,Treatment 1
10.52,82.78,38.54,135.22,Treatment 1
10.22,82.34,38.6,130.54,Treatment 1
9.73,83.18,38.62,134.53,Treatment 1
9.1,81.88,38.57,138.93,Treatment 1
8.67,80.19,38.54,146.73,Treatment 1
8.66,81.67,38.55,131.52,Treatment 1
8.33,81.35,38.52,136.16,Treatment 1
8.06,81.17,38.54,130.78,Treatment 1
7.34,80.81,38.53,133.18,Treatment 1
6.67,81.08,38.54,133.71,Treatment 1
6.56,80.55,38.56,126.9,Treatment 1
6.7,80.59,38.6,131.44,Treatment 1
7.38,81.32,38.71,127.93,Treatment 1
24.6,38.31,38.77,132.81,Treatment 2
24.41,37.9,38.76,141.04,Treatment 2
24.08,37.87,38.76,141.52,Treatment 2
23.8,38.24,38.76,155.46,Treatment 2
23.55,38.45,38.76,145.77,Treatment 2
22.95,38.86,38.77,141.25,Treatment 2
21.74,41.47,38.77,155.87,Treatment 2
21.02,44.43,38.76,145.02,Treatment 2
20.57,46.51,38.79,154.51,Treatment 2
20.13,48.15,38.8,148.36,Treatment 2
19.81,49.19,38.82,144.11,Treatment 2
19.64,49.98,38.82,144.33,Treatment 2
19.76,50.48,38.84,133.79,Treatment 2
20.52,49.52,38.86,136.11,Treatment 2
19.9,50.49,38.84,144.97,Treatment 2
20.42,50.31,38.87,171.19,Treatment 2
23.17,51.94,38.85,151.19,Treatment 2
26.71,50.37,38.9,150.57,Treatment 2
30.92,45.49,38.93,144.53,Treatment 2
33.63,37.92,38.91,148.7,Treatment 2
35.72,34.2,38.82,146.29,Treatment 2
37.65,30.89,38.76,141.12,Treatment 2
38.38,28.08,38.74,150.94,Treatment 2
37.89,25.72,38.75,145.95,Treatment 2
36.78,27.05,38.72,144.43,Treatment 2
35.04,29.71,38.73,145.59,Treatment 2
32.61,31.83,38.75,152.73,Treatment 2
29.86,35.78,38.77,153.65,Treatment 2
28.44,38.72,38.74,144.97,Treatment 2
27.74,39.49,38.75,146.64,Treatment 2
26.97,41.16,38.78,149.51,Treatment 2
26.44,45.57,38.77,150.58,Treatment 2
25.84,46.1,38.85,137.88,Treatment 2
25.77,48.47,38.79,132.49,Treatment 2
25.52,48.3,38.84,147.71,Treatment 2
25,48.45,38.8,134.93,Treatment 2
24.42,48.78,38.79,148.25,Treatment 2
24.11,49.87,38.83,140.47,Treatment 2
23.8,49.61,38.86,136.1,Treatment 2
24.34,49.97,38.76,142.58,Treatment 2
26.05,48.99,38.82,142.58,Treatment 2
28.8,46.39,38.81,143.84,Treatment 2
31.72,42.11,38.76,148.91,Treatment 2
33.67,39.06,38.75,144.63,Treatment 2
36.37,33.4,38.73,146,Treatment 2
37.65,30.69,38.74,155.41,Treatment 2
37.95,29.15,38.71,155.09,Treatment 2
37.27,29.18,38.72,150.48,Treatment 2
36.49,28.56,38.73,142.68,Treatment 2
34.7,30.19,38.73,146.82,Treatment 2
32.72,33.27,38.77,143.65,Treatment 2
31.04,34.93,38.69,155.23,Treatment 2
30.41,36.77,38.69,149.61,Treatment 2
28.23,42.17,38.69,151.24,Treatment 2
26.23,47.59,38.73,145.97,Treatment 2
26.2,48.65,38.71,144.12,Treatment 2
26.33,49.33,38.71,146.41,Treatment 2
25.76,49.88,38.78,139.7,Treatment 2
25.69,49.44,38.78,151.25,Treatment 2
25.51,51.17,38.78,140.35,Treatment 2
24.85,52.6,38.78,157.73,Treatment 2
24.37,51.53,38.74,153.94,Treatment 2
23.89,51.86,38.75,141.67,Treatment 2
24.08,53.06,38.81,135.55,Treatment 2
25.36,53.55,38.77,144.89,Treatment 2
27.36,49.71,38.74,143.37,Treatment 2
31,46.24,38.77,148.56,Treatment 2
33.52,41.63,38.77,145.36,Treatment 2
34.13,38.28,38.71,151.56,Treatment 2
36.66,33.14,38.68,150.02,Treatment 2
34.24,38.31,39,119.42,Treatment 2
33.63,38.65,38.93,144.1,Treatment 2
33.66,38.62,38.95,157.86,Treatment 2
30.72,44.91,38.99,145.65,Treatment 2
29.12,45.62,38.95,138.12,Treatment 2
27.93,51.94,38.94,135.21,Treatment 2
27.59,54.2,39.03,152.65,Treatment 2
27.13,55.62,39.03,151.78,Treatment 2
27.03,55.42,38.97,145.02,Treatment 2
26.48,56.24,38.98,142.3,Treatment 2
26.21,56.85,38.95,138.14,Treatment 2
26,55.89,39.04,130.53,Treatment 2
26.81,53.33,39.06,145.4,Treatment 2
26.15,54.52,39.07,136.72,Treatment 2
25.25,56.56,39.09,129.34,Treatment 2
24.59,57.2,39.08,135.3,Treatment 2
24.42,57.81,39.09,139.06,Treatment 2
24.65,57.58,39.07,134.55,Treatment 2
26.96,52.52,38.97,132.12,Treatment 2
29.29,44.75,39.04,155.35,Treatment 2
30.68,41.26,39.02,147.79,Treatment 2
32.33,38.88,38.99,139,Treatment 2
30.39,43.27,39.01,147.14,Treatment 2
30.5,45.71,39.05,142.91,Treatment 2
30.07,40.73,39.02,156.25,Treatment 2
29.49,41.72,39.05,146.66,Treatment 2
29.29,40.01,39.03,131.95,Treatment 2
28,40.32,39.03,141.06,Treatment 2
26.14,41.36,38.98,138.85,Treatment 2
24.35,43.66,38.9,152.35,Treatment 2
23.26,51.57,38.89,145.76,Treatment 2
21.96,58.09,38.9,127.53,Treatment 2
21.22,61.39,38.9,165.85,Treatment 2
20.98,58.08,38.87,155.08,Treatment 2
20.09,59.41,38.9,172.85,Treatment 2
19.94,61.67,38.92,143.38,Treatment 2
19.84,60.57,38.92,150.11,Treatment 2
19.97,59.11,38.95,154.03,Treatment 2
20.33,57.65,38.91,152.55,Treatment 2
20.03,58.18,38.93,136.46,Treatment 2
19.22,59.78,38.94,141.28,Treatment 2
19.11,59.65,38.94,137.8,Treatment 2
20.96,55.98,38.94,136.92,Treatment 2
22.2,51.49,38.96,134.77,Treatment 2
24.63,48.35,38.93,130.16,Treatment 2
27.81,42.19,38.93,143.46,Treatment 2
31.14,35.68,38.96,146.69,Treatment 2
31.82,32.3,38.94,145.09,Treatment 2
32.31,32.91,38.95,151.32,Treatment 2
30.54,34,38.9,148.44,Treatment 2
28.99,39.99,38.93,146.76,Treatment 2
27.03,40.62,38.96,154.64,Treatment 2
24.79,44.67,38.92,144.04,Treatment 2
22.7,51.2,38.88,138.25,Treatment 2
21.32,56.49,38.88,150.05,Treatment 2
20.81,57.03,38.89,147.66,Treatment 2
20.4,57.33,38.95,148.23,Treatment 2
19.63,57.54,38.88,151.95,Treatment 2
18.92,58.27,38.94,149.7,Treatment 2
18.56,58.07,38.93,170.57,Treatment 2
18.4,58.4,38.85,142.06,Treatment 2
17.66,58.67,38.81,137.7,Treatment 2
16.8,59.85,38.84,155.84,Treatment 2
16.16,58.88,38.92,154.3,Treatment 2
15.72,60.39,38.99,148.44,Treatment 2
15.86,61.31,39,145.12,Treatment 2
18.35,60.53,39.04,132.55,Treatment 2
21.97,51.88,38.98,141.46,Treatment 2
26.06,42.11,38.95,138.46,Treatment 2
29.7,37.14,38.99,139.87,Treatment 2
32.27,34.04,38.96,132.49,Treatment 2
33.04,29.82,38.88,147.46,Treatment 2
33.26,28.72,38.89,153.61,Treatment 2
32.27,28.22,38.9,154.98,Treatment 2
31.05,27.68,38.85,138.84,Treatment 2
29.08,28.79,38.88,143.88,Treatment 2
26.18,32.24,38.84,144.34,Treatment 2
22.43,41.02,38.84,147.74,Treatment 2
20.84,53.26,38.89,156.25,Treatment 2
21.3,55.31,38.88,155.21,Treatment 2
22.07,49.72,38.88,145.26,Treatment 2
22.26,48.65,38.87,138.51,Treatment 2
22.42,49.94,38.86,141.6,Treatment 2
21.15,53.31,38.84,144.13,Treatment 2
20.77,53.21,38.86,145.35,Treatment 2
20.16,53.96,38.88,141.45,Treatment 2
19.54,56.06,38.89,136.12,Treatment 2
19.55,54.26,38.91,138.02,Treatment 2
19.16,54.57,38.9,156.51,Treatment 2
19.94,53.79,38.88,139.77,Treatment 2
20.84,52.49,38.88,157.91,Treatment 2
20.42,51.81,38.86,156.61,Treatment 2
20.33,53.85,38.89,154.69,Treatment 2
21.29,54.89,38.91,145.51,Treatment 2
22.03,53.44,38.89,134.31,Treatment 2
22.29,53.33,38.92,146.37,Treatment 2
22.27,54.16,38.91,145.54,Treatment 2
21.86,54.25,38.9,144.33,Treatment 2
21.49,54.79,38.88,149.5,Treatment 2
21.02,56.1,38.88,135.7,Treatment 2
20.73,56.8,38.87,137.01,Treatment 2
20.15,56.94,38.89,145.69,Treatment 2
19.66,57.85,38.88,142.79,Treatment 2
19.44,57.91,38.86,148.51,Treatment 2
19.49,58.24,38.92,147.7,Treatment 2
19.27,59,38.92,145.33,Treatment 2
19.03,58.99,38.93,136.91,Treatment 2
18.66,59.69,38.93,138.46,Treatment 2
18.43,59.57,38.91,144.69,Treatment 2
18.43,60.13,38.93,148,Treatment 2
18.71,60.25,38.9,169.41,Treatment 2
18.69,60.11,38.94,148.44,Treatment 2
18.97,59.14,38.92,160.52,Treatment 2
19.27,59.76,38.93,150,Treatment 2
20.26,58.93,38.93,134.51,Treatment 2
21.4,55.63,38.92,171.32,Treatment 2
20.73,55.4,38.93,147.62,Treatment 2
20.59,56.69,38.95,155.27,Treatment 2
20.77,56.43,38.95,153.13,Treatment 2
23.07,52.51,39.06,143.38,Treatment 2
23.34,53.64,38.94,148.05,Treatment 2
24.05,57.34,38.9,149.37,Treatment 2
26.64,50.88,38.91,152.65,Treatment 2
23.5,57.18,38.92,135.82,Treatment 2
21.76,60.47,38.93,149.32,Treatment 2
20.97,61.26,38.92,140.36,Treatment 2
20.13,62.74,38.93,169.64,Treatment 2
19.24,60.46,38.92,147.14,Treatment 2
17.95,69.66,38.94,145.7,Treatment 2
18.29,67.02,38.95,158.95,Treatment 2
18.96,62.56,38.94,145.69,Treatment 2
18.95,62.11,38.94,153.41,Treatment 2
18.83,60.97,38.94,144.53,Treatment 2
19,60.06,38.94,141.69,Treatment 2
19.28,60.05,38.94,150.11,Treatment 2
18.53,60.03,38.95,143.23,Treatment 2
18.31,62.07,38.93,151.86,Treatment 2
18.56,63.64,38.95,134.77,Treatment 2
18.84,64.34,38.96,138.11,Treatment 2
18.93,64.49,38.98,130.39,Treatment 2
19.14,65.06,38.97,146.87,Treatment 2
19.89,63.4,38.98,148.96,Treatment 2
22.1,55.79,38.93,151.26,Treatment 2
24.12,50.23,38.69,152.98,Treatment 2
22.36,49.51,39.11,135.74,Treatment 2
22.74,47.39,39.17,152.34,Treatment 2
23.29,44.57,39.17,145.35,Treatment 2
23.78,44.27,39.2,170.97,Treatment 2
24.09,41.33,39.19,144.73,Treatment 2
25.17,36.95,39.17,147.79,Treatment 2
26.78,31.37,39.16,190.49,Treatment 2
27.62,30.48,39.18,164.06,Treatment 2
25.8,33.43,39.16,156.15,Treatment 2
25.03,35.01,39.17,172.23,Treatment 2
23.61,40.93,39.18,142.27,Treatment 2
20.73,46.47,39.12,165.72,Treatment 2
17.62,53.74,39.2,199.63,Treatment 2
16.67,55.12,39.29,169.48,Treatment 2
16.38,54.78,39.27,177.83,Treatment 2
15.75,54.4,39.34,164.8,Treatment 2
14.36,56.53,39.36,154.71,Treatment 2
13.54,56.58,39.37,179.51,Treatment 2
13.18,55.33,39.37,167.66,Treatment 2
13.1,55.98,39.39,156.9,Treatment 2
12.74,55.09,39.38,172.96,Treatment 2
13.37,53.49,39.38,177.65,Treatment 2
12.42,54.41,39.14,161.78,Treatment 2
11.99,56.11,39.27,178.26,Treatment 2
13.19,55.7,39.32,173.45,Treatment 2
15.03,55.18,39.23,158.44,Treatment 2
17.4,56.28,39.23,185.86,Treatment 2
19.84,54.43,39.25,188.28,Treatment 2
,,,,Treatment 2
,,,,Treatment 2
,,,,Treatment 2
,,,,Treatment 2
,,,,Treatment 2
,,,,Treatment 2
,,,,Treatment 2
,,,,Treatment 2
,,,,Treatment 2
,,,,Treatment 2
15.95,55.64,38.9,142.87,Treatment 2
15.14,55.54,38.88,151.63,Treatment 2
14.45,55.25,38.84,143.7,Treatment 2
13.98,54.19,38.82,139.45,Treatment 2
14.5,52.57,38.83,150.31,Treatment 2
15.13,52.95,38.87,144.36,Treatment 2
15.16,53.31,39.07,163.18,Treatment 2
15.16,52.57,39.04,148.97,Treatment 2
14.78,53.07,38.84,149.56,Treatment 2
14.4,55.39,39.18,177.12,Treatment 2
14.55,54.72,39.25,170.36,Treatment 2
15.51,55.08,39.23,194.45,Treatment 2
18.74,50.39,39.26,175.33,Treatment 2
22.02,47.82,39.36,170.27,Treatment 2
25.31,43.77,39.27,154.47,Treatment 2
28.26,38.93,39.24,186.13,Treatment 2
30.05,35.27,39.36,156.98,Treatment 2
30.85,31.44,39.22,180.06,Treatment 2
30.23,30.87,39.22,172.95,Treatment 2
28.91,31.53,39.26,196.81,Treatment 2
27.06,35.56,39.29,174.07,Treatment 2
23.79,39.37,39.3,164.96,Treatment 2
21.41,46.78,39.28,180.21,Treatment 2
20.71,49.76,39.03,120.12,Treatment 2
19.91,52.17,38.89,143.48,Treatment 2
19.36,54.02,38.9,140.8,Treatment 2
18.01,56.54,38.92,139.53,Treatment 2
17.19,56.75,38.82,156.67,Treatment 2
16.83,57.03,38.81,141.4,Treatment 2
,,,,Treatment 2
,,,,Treatment 2
,,,,Treatment 2
,,,,Treatment 2
,,,,Treatment 2
22.36,45.62,39.24,127.6,Treatment 2
22.8,45.64,39.35,125,Treatment 2
23.29,46.37,39.24,136.16,Treatment 2
23.79,44.82,39.37,128.91,Treatment 2
24.35,42.85,39.37,132.81,Treatment 2
26.31,35.07,39.35,175.79,Treatment 2
27.7,30.73,39.33,162.11,Treatment 2
28,29.59,39.31,133.79,Treatment 2
27.85,29,39.21,132.03,Treatment 2
26.44,30.47,38.87,142.19,Treatment 2
24.21,37.06,38.78,150.64,Treatment 2
19.71,45.21,38.78,134.7,Treatment 2
16.62,53.84,38.79,145.02,Treatment 2
15.63,53.21,38.78,157.3,Treatment 2
15.14,52.1,38.77,148.03,Treatment 2
15.07,50.11,38.79,142.52,Treatment 2
14.25,48.93,38.79,162.54,Treatment 2
14.18,48.42,38.82,150.7,Treatment 2
13.2,49.48,38.81,144.73,Treatment 2
13.03,48.53,38.82,150.68,Treatment 2
12.37,49.17,38.81,157.5,Treatment 2
12.7,48.67,38.82,151.75,Treatment 2
12.88,48.54,38.87,161.75,Treatment 2
12.65,48.37,38.97,149.66,Treatment 2
13.17,48.87,39.01,138.16,Treatment 2
14.52,48.18,39.19,145.4,Treatment 2
16.02,48.11,39.41,141.93,Treatment 2
17.65,46.21,39.39,128.12,Treatment 2
19.66,42.01,39.39,138.02,Treatment 2
21.02,43.86,39.39,140.63,Treatment 2
20.11,45.39,39.41,164.06,Treatment 2
20.97,42.97,39.41,145.51,Treatment 2
22.24,39.65,38.94,136.72,Treatment 2
22.72,38.37,38.84,141.97,Treatment 2
20.34,43.15,38.94,149.47,Treatment 2
16.37,49.79,39.25,155.13,Treatment 2
13.44,55.64,39.5,130.21,Treatment 2
11.97,55.11,39.48,128.9,Treatment 2
11.05,53.64,39.52,160.16,Treatment 2
10.31,53.2,39.4,123.7,Treatment 2
9.71,52.13,39.34,118.49,Treatment 2
8.99,52.78,39.28,127.34,Treatment 2
8.54,53.55,39.26,128.91,Treatment 2
8.14,54.98,39.2,180.18,Treatment 2
7.9,56.26,39.28,140.63,Treatment 2
7.6,58.07,39.28,145.51,Treatment 2
7.16,61.4,39.31,NA,Treatment 2
6.61,64.36,39.2,138.02,Treatment 2
6.79,67.77,38.88,140.09,Treatment 2
8.33,64.17,39.19,131.39,Treatment 2
11.81,62.18,39.24,133.55,Treatment 2
16.03,55.01,39.18,130.02,Treatment 2
20.36,45.03,39.22,135.94,Treatment 2
22.37,36.41,39.31,139.06,Treatment 2
24.19,32.32,39.19,140.63,Treatment 2
25.3,33.08,39,154.3,Treatment 2
25.75,34.57,38.96,130.64,Treatment 2
24.06,32.76,38.92,153.46,Treatment 2
21.1,38.72,38.95,133.49,Treatment 2
17.34,45.84,39.04,122.8,Treatment 2
14.47,55.81,39.12,126.3,Treatment 2
12.84,56.15,38.88,138.67,Treatment 2
11.78,55.07,38.89,148.44,Treatment 2
10.78,55.55,38.89,158.14,Treatment 2
10.07,55.57,38.88,153.21,Treatment 2
9.43,55.48,38.89,124.4,Treatment 2
8.88,55.18,38.88,137.7,Treatment 2
9.01,55.43,38.9,137.62,Treatment 2
8.63,55.69,38.92,162.42,Treatment 2
8.19,56.32,38.91,147.57,Treatment 2
8.12,57.09,38.87,138.09,Treatment 2
7.74,60.14,38.83,144.27,Treatment 2
8.02,60.38,38.89,137.11,Treatment 2
10.11,59.77,38.91,154.95,Treatment 2
13.87,57.65,38.95,144.53,Treatment 2
19.23,47.93,38.97,148.76,Treatment 2
23.53,41.51,38.97,135.85,Treatment 2
26.35,39.13,38.98,136.26,Treatment 2
28.16,34.07,38.97,151.17,Treatment 2
29.17,31.61,38.97,157.92,Treatment 2
29.22,30.71,38.96,134.23,Treatment 2
28.63,29.75,38.94,146.93,Treatment 2
26.79,30.94,38.93,151.56,Treatment 2
22.48,39.37,38.93,141.05,Treatment 2
19.64,50.28,38.9,148.05,Treatment 2
18.27,54.83,38.87,160.06,Treatment 2
17.55,57.17,38.89,151.83,Treatment 2
16.65,59.29,38.88,152.54,Treatment 2
16.59,58.18,38.87,149.41,Treatment 2
15.4,58.84,38.89,150.14,Treatment 2
15.04,57.85,38.88,153.43,Treatment 2
16.61,53.48,38.86,139.76,Treatment 2
17.75,52.28,38.91,140.27,Treatment 2
17.87,51.58,38.93,141.45,Treatment 2
17.42,52.4,38.95,127.49,Treatment 2
18.4,50.13,38.94,146.76,Treatment 2
19.25,50.12,38.94,139.32,Treatment 2
19.93,49.65,38.97,142.94,Treatment 2
20.53,49.74,38.95,139.42,Treatment 2
22.01,47.47,38.96,131.75,Treatment 2
23.15,46.57,38.97,136.72,Treatment 2
25.14,43.79,38.96,132.03,Treatment 2
25.45,41.93,38.91,153.32,Treatment 2
25.3,42.22,38.97,141.49,Treatment 2
24.37,44.9,38.94,147.01,Treatment 2
23.02,49.43,38.89,166.8,Treatment 2
22.95,50.16,38.9,135.79,Treatment 2
22.81,50.53,38.88,149.64,Treatment 2
22.18,51.72,38.86,154.36,Treatment 2
21.95,52.54,38.84,144.53,Treatment 2
22.13,51.89,38.78,145.65,Treatment 2
22.35,51.4,38.78,148.49,Treatment 2
22.11,52.53,38.77,150.77,Treatment 2
21.8,54.37,38.78,155.33,Treatment 2
21.97,54.4,38.78,150.25,Treatment 2
22.21,53.21,38.79,164.7,Treatment 2
22.3,53.15,38.78,139.88,Treatment 2
22.4,52.52,38.77,148.86,Treatment 2
22.4,52.52,38.94,143.41,Treatment 2
22.4,53.34,38.95,145.97,Treatment 2
22.31,54.5,38.95,134.4,Treatment 2
23.18,54.58,38.95,138.95,Treatment 2
24.11,53.26,38.97,147.1,Treatment 2
24.38,53.42,39.03,155.95,Treatment 2
25.89,51.06,39.08,131.14,Treatment 2
26.91,48.73,39.16,130.86,Treatment 2
28.64,43.94,39.13,174.05,Treatment 2
26.35,45.39,39.1,133.68,Treatment 2
21.5,51.71,38.88,139.1,Treatment 2
21.28,52.44,38.81,139.9,Treatment 2
21.16,54.05,38.89,134.11,Treatment 2
21.18,56.42,38.91,129.15,Treatment 2
20.78,57.03,38.9,140.14,Treatment 2
19.34,60.36,38.88,140.17,Treatment 2
18.11,61.92,38.77,143.16,Treatment 2
17.77,61.05,38.74,142.26,Treatment 2
17.66,60.25,38.76,148.91,Treatment 2
17.69,58.96,38.79,147.54,Treatment 2
17.82,58.16,38.94,134.77,Treatment 2
17.43,58.53,39.01,157.47,Treatment 2
17.1,58.41,39.03,136.26,Treatment 2
16.21,59.25,38.97,138.02,Treatment 2
15.21,59.82,38.84,152.88,Treatment 2
14.58,58.79,39,145.83,Treatment 2
14.18,58.85,38.99,140.63,Treatment 2
13.85,58.73,38.92,138.35,Treatment 2
14.3,56.21,38.93,144.95,Treatment 2
13.77,58.24,39.17,147.79,Treatment 2
13.96,58.4,39.19,155.88,Treatment 2
15.29,56.24,39.23,151.11,Treatment 2
16.47,52.62,39.21,136.11,Treatment 2
16.42,51.32,39.21,156.6,Treatment 2
16.49,53.28,39.22,170.08,Treatment 2
16.51,53.64,39.05,144.53,Treatment 2
16.42,54.02,38.94,141.88,Treatment 2
15.8,55.33,38.87,148.58,Treatment 2
15.01,54.07,38.88,143.23,Treatment 2
14.41,55.2,39.07,152.78,Treatment 2
13.98,54.91,39.2,178.15,Treatment 2
13.13,54.45,39.18,162.68,Treatment 2
10.82,58.08,39.17,144.53,Treatment 2
8.87,60.82,39.24,143.23,Treatment 2
7.73,61.75,39.28,174.58,Treatment 2
7.05,62.01,39.35,161.21,Treatment 2
6.33,63.94,39.31,163.71,Treatment 2
5.77,64.58,39.34,158.2,Treatment 2
5.53,65.61,39.32,163.26,Treatment 2
5.4,65.69,39.26,149.59,Treatment 2
5.39,64.91,39.29,163.24,Treatment 2
6.17,64.36,39.13,168.31,Treatment 2
9.47,63.93,39.18,164.55,Treatment 2
13.5,61.16,39.26,152.02,Treatment 2
17.28,55.22,39.21,164.06,Treatment 2
19.73,49.02,39.22,151.88,Treatment 2
22.58,40.5,39.22,160.05,Treatment 2
23,31.65,39.22,167.97,Treatment 2
22.57,29.85,39.22,151.23,Treatment 2
21.33,32.05,39.23,173.18,Treatment 2
18.54,38.11,39.22,165.04,Treatment 2
15.62,47.99,39.22,131.64,Treatment 2
13.28,53.3,39.18,159.77,Treatment 2
12.02,56.01,39.18,163.63,Treatment 2
11.28,56.84,39.15,148.57,Treatment 2
10.59,56.29,39.17,146.9,Treatment 2
10.03,56.3,39.14,141.8,Treatment 2
9.44,56.86,39.17,161.62,Treatment 2
8.87,57.38,39.13,141.93,Treatment 2
8.21,57.65,39.11,127.6,Treatment 2
7.77,58.03,39.13,144.73,Treatment 2
7.27,57.5,39.16,157,Treatment 2
6.87,58.25,39.15,147.46,Treatment 2
6.34,58.22,39.19,158.2,Treatment 2
6.16,57.32,39.22,144.21,Treatment 2
7.16,56.69,39.16,138.67,Treatment 2
10.63,55.28,39.11,156.55,Treatment 2
15.03,52.06,39.16,139.56,Treatment 2
17.93,42.88,39.22,124.22,Treatment 2
20.16,37.19,39.19,142.58,Treatment 2
20.2,39.6,39.19,158.86,Treatment 2
21.65,38.17,39.23,156.07,Treatment 2
20.77,34.23,39.26,123.7,Treatment 2
18.97,35.95,39.21,157.81,Treatment 2
15.94,42.51,39.22,143.75,Treatment 2
14.33,45.67,39.23,143.42,Treatment 2
11.87,51.32,39.22,142.58,Treatment 2
10.85,53.04,39.22,131.08,Treatment 2
10.02,53.83,39.22,144.21,Treatment 2
8.85,54.96,39.22,143.33,Treatment 2
8.34,55.7,39.1,156.02,Treatment 2
8.01,56.51,39.05,133.65,Treatment 2
7.21,57.6,39.1,130.68,Treatment 2
6.7,57.77,39.09,152.02,Treatment 2
6.19,57.87,39.12,171.01,Treatment 2
5.66,58.15,39.32,137.84,Treatment 2
5.43,57.87,39.33,136.72,Treatment 2
5.18,58.16,39.29,128.26,Treatment 2
5.17,58.66,39.22,133.59,Treatment 2
6.31,59.36,39.15,141.18,Treatment 2
9.94,60.62,39.1,131.43,Treatment 2
13.77,60.1,39.36,132.42,Treatment 2
16.94,50.27,39.25,159.18,Treatment 2
19.02,46.34,39.23,141.41,Treatment 2
20.35,45.92,39.2,151.48,Treatment 2
21.17,44.52,39.18,140.3,Treatment 2
20.4,42.58,39.19,148.05,Treatment 2
19,43.14,39.24,140.63,Treatment 2
17.24,45.33,39.2,138.02,Treatment 2
13.55,51.21,39.2,150.39,Treatment 2
12.22,54.15,39.23,136.16,Treatment 2
11.18,54.11,39.2,143.97,Treatment 2
10.21,54.47,39.2,151.1,Treatment 2
9.61,54.88,39.22,152.35,Treatment 2
8.91,55.72,39.28,160.91,Treatment 2
8.38,55.67,39.27,169.6,Treatment 2
7.89,55.61,39.24,170.43,Treatment 2
7.29,55.59,39.16,149.65,Treatment 2
6.73,55.84,38.96,152.41,Treatment 2
6.23,56.34,39.07,139.65,Treatment 2
5.68,56.83,39.08,166.67,Treatment 2
5.15,57.22,39.06,168.79,Treatment 2
5.16,57.39,39.06,163.69,Treatment 2
6.34,57.85,39.02,135.16,Treatment 2
9.56,56.24,38.98,137.24,Treatment 2
12.1,55.95,39,153.99,Treatment 2
16.16,58.79,38.85,141.72,Treatment 2
18.96,53.71,38.84,139.81,Treatment 2
20.48,50.57,38.84,145.1,Treatment 2
20.97,53.08,38.84,134.44,Treatment 2
21.03,54.74,38.84,143.95,Treatment 2
19.9,58.64,38.83,144.53,Treatment 2
18.68,59.27,38.82,153.44,Treatment 2
14.89,58.19,38.83,140.33,Treatment 2
11.74,57.39,38.83,147.02,Treatment 2
10.28,57.26,38.82,152.15,Treatment 2
9.37,57.2,38.84,148.72,Treatment 2
8.73,57.17,38.88,151.02,Treatment 2
8.05,57.3,39,151.28,Treatment 2
7.49,57.78,39,156.01,Treatment 2
6.99,57.61,38.99,132.28,Treatment 2
6.57,57.79,38.97,140.85,Treatment 2
6.34,58.2,38.98,141.56,Treatment 2
5.97,58.24,38.98,153.65,Treatment 2
5.87,58.56,38.96,149.81,Treatment 2
5.76,58.73,38.95,151.61,Treatment 2
5.85,59.08,38.95,148.87,Treatment 2
7.65,59.74,38.91,148.93,Treatment 2
12,60.84,38.88,137.84,Treatment 2
15.51,55.56,39.08,142.97,Treatment 2
17.78,55.48,39.11,161.43,Treatment 2
19.84,54.91,39.11,174.07,Treatment 2
22.03,51.99,39.11,160.42,Treatment 2
22.74,48.33,39.12,148.44,Treatment 2
22.27,44.96,39.12,166.02,Treatment 2
21.75,51.74,39.15,163.28,Treatment 2
20.53,54.79,39.13,166.76,Treatment 2
18.57,57.1,39.12,156.76,Treatment 2
16.3,57.8,39.13,167.08,Treatment 2
14.62,57.48,39.13,154.62,Treatment 2
13.26,59.07,39.13,180.58,Treatment 2
14.8,58.63,39.13,159.64,Treatment 2
15.22,59.01,39.14,140.62,Treatment 2
15.31,59.38,39.13,146.73,Treatment 2
15.28,59.65,39.14,136.72,Treatment 2
15.09,60.04,39.14,156.81,Treatment 2
14.93,60.5,39.14,190.43,Treatment 2
14.7,60.37,39.14,137.21,Treatment 2
14.4,60.84,39.13,143.8,Treatment 2
14.27,60.23,39.13,162.98,Treatment 2
14.25,60.82,39.12,150.78,Treatment 2
14.93,62.14,39.12,171.63,Treatment 2
16.05,60.87,39.12,158.35,Treatment 2
17.35,55.39,39.13,140.92,Treatment 2
18.94,50.03,39.12,190.02,Treatment 2
18.45,48.48,39.13,161.86,Treatment 2
19.46,44.1,39.13,145.45,Treatment 2
18.6,43.62,39.13,149.22,Treatment 2
18.8,42.75,39.14,143.27,Treatment 2
18.58,42.71,39.12,159.45,Treatment 2
17.77,45.24,39.11,142.02,Treatment 2
16.82,48.16,39.13,169,Treatment 2
16.2,52.09,39.13,164.06,Treatment 2
